Meetup No.,Venue,Total Students,Description,Social Media link,Collaboration
256,"Zilpi Lake, Nagpur",15+,"The Nagpur Meetup held at Zilpi Lake began with a fun bus ride full of dance, laughter, and introductions. After reaching, we visited the serene Sidhivinayak Mandir for darshan before heading lakeside to enjoy the calm water, games, and the proud moment of singing the National Anthem together as the meetup was part of Tricolor Trails🇮🇳

To wrap up the day, we headed to a nearby restaurant for a hearty meal where the fun continued with games, laughter, and endless conversations. The meetup ended on a perfect note of food, joy, and memories with new friends 🎉",https://www.instagram.com/p/DNmtiUnRzS2/?img_index=4&igsh=MXcya2JyOHd4c2ZyNA==,Tricolor Trails 2.0 (Sundarbans x Boundless x Nallamala)
264,"Sanjay Gandhi National Park, Mumbai",25+,"The meetup took place at Sanjay Gandhi National Park, where we began with fun introductions and icebreakers that instantly set the vibe. Exploring the historic Kanheri Caves together was a unique experience that brought everyone closer.

The highlight of the day was an engaging treasure hunt game that sparked teamwork, laughter, and friendly competition. We concluded by singing the National Anthem and capturing moments with the flag — a perfect way to wrap up the Mumbai meetup!",https://www.instagram.com/p/DNtFbaO0C5b/?igsh=MXgyajhnaGtpZDNwdQ==,Tricolor Trails 2.0 (Sundarbans x Boundless x Nallamala)
328,"Kora Kendra Gound-1, Mumbai",15+,"The meetup began with warm introductions  most of us already knew each other, so we connected easily. After some fun clicks, we dived into the Garba night, where the music, dance, and energy created the perfect vibe for everyone to enjoy and bond.

The night wrapped up with laughter, goodies, and memories that will stay with us  the perfect Mumbai meetup!",https://www.instagram.com/p/DPitTdJEhhr/?igsh=Nm11MHlpcTZpY3Fv,Navrang 2.0 (Sundarbans x Boundless x Nallamala x corbett x synapse x pravaha)
338,"Green Place,Ahmedabad",10+,"avrang 2.0 hit Ahmedabad with full flair—and this time, we danced! 💃🕺 Our BS student meetup turned into a dazzling Dandiya Night, where tradition met tech, and data science students swapped code for chaniya cholis. From swirling ghagras to spirited garba, the night was a celebration of culture, connection, and campus joy.
A heartfelt thank you to the IIT Madras team for sponsoring this unforgettable evening through the BS Student Activity Fee. Your support brought us together in rhythm, color, and community.
Ahmedabad, you gave us memories that sparkle brighter than our dandiya sticks. Here's to more meetups, more movement, and the magic of student life. 🌟",https://www.instagram.com/p/DPtA3cQElTv/?igsh=em0wZDdxNWlsNmE3,Navrang 2.0 (Sundarbans x Boundless x Nallamala x corbett x synapse x pravaha)
332,"Durga Pandal, Nagpur",10+,"The meetup began with warm introductions  most of us already knew each other, so we connected easily. After some fun clicks, we dived into the Garba night at Jaitala Ground, where the music, dance, and energy created the perfect vibe for everyone to enjoy and bond.

The night wrapped up with laughter, goodies, and memories that will stay with us  the perfect Nagpur meetup!",https://www.instagram.com/p/DPWoWA-DL68/?igsh=MXR5dHQzeWsyYzQxbQ==,Navrang 2.0 (Sundarbans x Boundless x Nallamala x corbett x synapse x pravaha)
386,"Phoenix Marketcity Mall, Pune",30+,"Celebrating Children's Day with hope, smiles, learning, and love for underprivileged children. Grateful to the IIT Madras team for sponsoring this meetup through the Student Activity Fee",https://www.instagram.com/p/DRq-7xgkw4y/?igsh=aXNhNnpzd2c5YmJs,Project Udaan (Sundarbans x Sahara x Nilgiri)
380,Nagpur,10+,"A small effort, a big impact. Spending time with these wonderful kids reminded us how pure joy can be. Grateful for everyone who joined and made this day truly special",https://www.instagram.com/p/DRriKP1jAr_/?igsh=MWl4bXk4dzlhdGs1MQ==,Project Udaan  (Sundarbans x Sahara x Nilgiri)
404,"Corridor Seven Lean Cafe, Nagpur",30+,"❄️ Sard Shaamon ki Sargoshiyan | Nagpur ☕
The evening chill set in, but the company? Pure warmth. 🧣
No formalities, no ice-breakers—just us, reunited as the sun went down. It didn’t feel like a standard meetup; it felt like coming home. Every laugh held a memory, and every conversation kept the cold away.
Sometimes, the best evenings aren't about the crowd size, but the people who make you feel cozy. 🧡",https://www.instagram.com/p/DSVpW0QDIXR/?igsh=OHlldmNkbXlxMG45,Sard Shaamon ki Sargoshiyan (All Houses)
512,"Okayama Friendship Garden, Pune",55+,"What started as a simple plan turned into an evening full of connections, conversations, and memories.
Students from different houses came together, interacted, shared ideas, and strengthened the house spirit beyond screens.",https://www.instagram.com/p/DUYd_vliX28/?img_index=4&igsh=MXBjMHh6dXRqM3pwOQ==,"Bandipur x Wayanad × Kaziranga × Sundarbans × Gir
Namdapha × Nilgiri × Pichavaram"
516,"Prism Court- Pickleball and Turf, Nagpur",25+,"Started the early evening with the sound of paddles hitting the court and ended the evening with the clinking of chai glasses. Two hours of intense tournament play followed by slow moments at the cafe—honestly, the perfect Nagpur Sunday.

It’s not just about the game; it’s about the community we’re building, one knockout round at a time. Captured some core memories today! 📸✨",https://www.instagram.com/p/DVDqyGijMeG/?igsh=dHBqMjlzODdxOTJy,Sundarbans x sportify
533,Mumbai,15+,"The Squash Event at Rashtriya Khel Mahotsav 2026 – Mumbai Chapter was an absolute hit! Organized by The Sportify Society in collaboration with Nallamala, Sundarbans, and Kaziranga House at Shahaji Rahe Sports Complex, the courts were filled with passion, competition, and pure sportsmanship.

A huge shoutout to all the participants who brought their A-game and made every match thrilling 🙌",https://www.instagram.com/p/DVDeRXtCQHY/?igsh=NTJiY2w4c3c0dGdj,Rashtriya Khel Mahotsav 2026 (sportify x Sundarbans x Nallamala)
567,Mumbai,30+,,,NA
,Pune,,Upcoming,,
